"No.","Time","Source","Destination","Protocol","Length","Info"
"150","10.921672","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","239","Standard query 0x0000 ANY iPhone di Alessandro._rdlink._tcp.local, ""QM"" question ANY iPhone-di-Alessandro.local, ""QM"" question SRV 0 0 49154 iPhone-di-Alessandro.local AAAA fe80::187d:cdd4:cfa1:436a A 192.168.1.16 OPT"
"151","10.923041","192.168.1.16","224.0.0.251","MDNS","266","Standard query response 0x0000 PTR, cache flush iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local NSEC, cache flush A.6.3.4.1.A.F.C.4.D.D.C.D.7.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 16.1.168.192.in-addr.arpa OPT"
"152","10.923041","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","286","Standard query response 0x0000 PTR, cache flush iPhone-di-Alessandro.local PTR, cache flush iPhone-di-Alessandro.local NSEC, cache flush A.6.3.4.1.A.F.C.4.D.D.C.D.7.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 16.1.168.192.in-addr.arpa OPT"
"153","11.101266","192.168.1.163","35.83.96.132","TLSv1.2","100","Application Data"
"154","11.127736","192.168.1.16","224.0.0.251","MDNS","154","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question OPT"
"155","11.127736","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","174","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question OPT"
"156","11.127736","192.168.1.16","224.0.0.251","MDNS","423","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Alessandro._rdlink._tcp.local TXT SRV, cache flush 0 0 49154 iPhone-di-Alessandro.local AAAA, cache flush fe80::187d:cdd4:cfa1:436a A, cache flush 192.168.1.16 NSEC, cache flush iPhone di Alessandro._rdlink._tcp.local NSEC, cache flush iPhone-di-Alessandro.local OPT"
"157","11.127736","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","443","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Alessandro._rdlink._tcp.local TXT SRV, cache flush 0 0 49154 iPhone-di-Alessandro.local AAAA, cache flush fe80::187d:cdd4:cfa1:436a A, cache flush 192.168.1.16 NSEC, cache flush iPhone di Alessandro._rdlink._tcp.local NSEC, cache flush iPhone-di-Alessandro.local OPT"
"158","11.218191","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"159","11.218191","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
